State,City,Existing_Stores,Estimated_Population,Per_Capita_Income,Malls,buyers_count,State_Encoded,City_Encoded,Norm_Population,Norm_Buyers,Norm_Stores,Priority_Index
Himachal Pradesh,Una,1,521173,215000,1,260586.5,9,286,0.03083995,0.03083995,0,0.52467196
Jammu&Kashmir,Jammu,2,657314,132806,1,328657,10,133,0.038951114,0.038951114,0.015625,0.528035891
Jharkhand,Bokaro,1,564319,95000,1,282159.5,11,56,0.033410552,0.033410552,0,0.526728441
Jharkhand,Dhanbad,1,1162472,95000,1,581236,11,76,0.069047993,0.069047993,0,0.555238395
Jharkhand,Jamshedpur,3,1337131,95000,1,668565.5,11,135,0.079454026,0.079454026,0.03125,0.557313221
Jharkhand,Ranchi,2,1126720,95000,1,563360,11,236,0.06691792,0.06691792,0.015625,0.550409336
Karnataka,Bagalkot,1,111933,421858,1,55966.5,12,24,0.006457783,0.006457783,0,0.505166226
Karnataka,Belgaum,2,488157,421858,1,244078.5,12,38,0.028872885,0.028872885,0.015625,0.519973308
Karnataka,Bellary,1,410445,421858,1,205222.5,12,39,0.024242871,0.024242871,0,0.519394297
Karnataka,Bengaluru,62,8443675,421858,1,4221837.5,12,40,0.502855807,0.502855807,0.953125,0.711659646
Karnataka,Chitradurga,1,145853,421858,1,72926.5,12,64,0.008478707,0.008478707,0,0.506782966
Karnataka,Davanagere,2,434971,421858,1,217485.5,12,71,0.025704109,0.025704109,0.015625,0.517438287
Karnataka,Gadag,1,172612,421858,1,86306,12,91,0.010072986,0.010072986,0,0.508058389
Karnataka,Hosapete,1,206167,421858,1,103083.5,12,118,0.012072164,0.012072164,0,0.509657731
Karnataka,Hubballi,3,943788,421858,1,471894,12,121,0.056018989,0.056018989,0.03125,0.538565191
Karnataka,Kalaburagi,1,533587,421858,1,266793.5,12,143,0.031579566,0.031579566,0,0.525263653
Karnataka,Mandya,1,137358,421858,1,68679,12,179,0.007972583,0.007972583,0,0.506378066
Karnataka,Mangaluru,3,488968,421858,1,244484,12,180,0.028921204,0.028921204,0.03125,0.516886963
Karnataka,Mysore,4,893062,421858,1,446531,12,193,0.052996777,0.052996777,0.046875,0.533022422
Karnataka,Raichur,1,893062,421858,1,446531,12,230,0.052996777,0.052996777,0,0.542397422
Karnataka,Shivamogga,1,322650,421858,1,161325,12,260,0.019012121,0.019012121,0,0.515209697
Karnataka,Tumakuru,1,302143,421858,1,151071.5,12,283,0.017790331,0.017790331,0,0.514232265
Karnataka,Udupi,1,125406,421858,1,62703,12,285,0.007260493,0.007260493,0,0.505808394
Karnataka,Vijayapura(Bijapur),1,125406,421858,1,62703,12,294,0.007260493,0.007260493,0,0.505808394
Kerala,Adoor,1,29171,308000,1,14585.5,13,1,0.001526894,0.001526894,0,0.501221515
Kerala,Alappuzha,1,2127789,308000,1,1063894.5,13,9,0.12656075,0.12656075,0,0.6012486
Kerala,Kanjirappally,1,2127789,308000,1,1063894.5,13,144,0.12656075,0.12656075,0,0.6012486
Kerala,Kannur,2,2523003,308000,1,1261501.5,13,145,0.15010726,0.15010726,0.015625,0.616960808
Kerala,Kochi,13,677381,308000,1,338690.5,13,155,0.040146689,0.040146689,0.1875,0.494617351
Kerala,Kollam,2,2635375,308000,1,1317687.5,13,160,0.156802287,0.156802287,0.015625,0.62231683
Kerala,Kondotty,1,2635375,308000,1,1317687.5,13,161,0.156802287,0.156802287,0,0.62544183
Kerala,Kothamangalam,1,2635375,308000,1,1317687.5,13,164,0.156802287,0.156802287,0,0.62544183
Kerala,Kottayam,4,136812,308000,1,68406,13,165,0.007940052,0.007940052,0.046875,0.496977042
Kerala,Kozhikode,3,2030519,308000,1,1015259.5,13,166,0.120765487,0.120765487,0.03125,0.59036239
Kerala,Malappuram,6,4112920,308000,1,2056460,13,176,0.244833148,0.244833148,0.078125,0.680241518
Kerala,Mannarkkad,1,34839,308000,1,17419.5,13,181,0.001864589,0.001864589,0,0.501491671
Kerala,Palakkad,5,2809934,308000,1,1404967,13,211,0.167202363,0.167202363,0.0625,0.62126189
Kerala,Perintalmanna,1,49723,308000,1,24861.5,13,222,0.002751365,0.002751365,0,0.502201092
Kerala,Thiruvananthapuram,9,986000,308000,1,493000,13,276,0.058533943,0.058533943,0.125,0.521827155
Kerala,Thodupuzha,1,52045,308000,1,26022.5,13,277,0.002889707,0.002889707,0,0.502311766
Kerala,Thrissur,8,315957,308000,1,157978.5,13,278,0.018613357,0.018613357,0.109375,0.493015686
Kerala,Tirur,1,56058,308000,1,28029,13,282,0.003128799,0.003128799,0,0.502503039
Kerala,Wayanad,1,817420,308000,1,408710,13,300,0.048490092,0.048490092,0,0.538792073
Kerala,kozhikode,3,817420,308000,1,408710,13,305,0.048490092,0.048490092,0.03125,0.532542073
Madhya Pradesh,Ashok Nagar,1,817420,115000,1,408710,14,20,0.048490092,0.048490092,0,0.538792073
Madhya Pradesh,Bhopal,4,2371061,115000,1,1185530.5,14,49,0.141054687,0.141054687,0.046875,0.603468749
Madhya Pradesh,Chhindwara,1,2090922,115000,1,1045461,14,62,0.124364246,0.124364246,0,0.599491397
Madhya Pradesh,Dewas,1,1563715,115000,1,781857.5,14,74,0.092953706,0.092953706,0,0.574362965
Madhya Pradesh,Guna,1,1240938,115000,1,620469,14,103,0.07372293,0.07372293,0,0.558978344
Madhya Pradesh,Gwalior,4,2032036,115000,1,1016018,14,109,0.120855869,0.120855869,0.046875,0.587309695
Madhya Pradesh,Indore,9,3276697,115000,1,1638348.5,14,125,0.195011701,0.195011701,0.125,0.631009361
Madhya Pradesh,Jabalpur,1,2463289,115000,1,1231644.5,14,127,0.146549552,0.146549552,0,0.617239641
Madhya Pradesh,Khandwa,1,1310061,115000,1,655030.5,14,151,0.077841219,0.077841219,0,0.562272975
Madhya Pradesh,Khargone,1,1872413,115000,1,936206.5,14,153,0.111345668,0.111345668,0,0.589076534
Madhya Pradesh,Rewa,1,1872413,115000,1,936206.5,14,238,0.111345668,0.111345668,0,0.589076534
Madhya Pradesh,Sagar,1,2378458,115000,1,1189229,14,244,0.141495394,0.141495394,0,0.613196315
Madhya Pradesh,Satna,1,2378458,115000,1,1189229,14,254,0.141495394,0.141495394,0,0.613196315
Madhya Pradesh,Sehore,1,1311332,115000,1,655666,14,255,0.077916944,0.077916944,0,0.562333555
Maharashtra,Ahilyanagar,1,4543159,310000,1,2271579.5,15,3,0.270466418,0.270466418,0,0.716373134
Maharashtra,Ahmednagar,1,4543159,310000,1,2271579.5,15,5,0.270466418,0.270466418,0,0.716373134
